model,sum,expected,raw_text,parsed_answer,is_correct,error_abs,tokens,token_logprobs,top_logprobs,latency_ms,api_endpoint,created_at,error
gpt-5.4,1+1,2,2,2,True,0,"[""2""]",[5e-05],"[[{""token"": ""2"", ""bytes"": [50], ""logprob"": 5e-05}]]",972.61,v1/responses,2026-05-24T22:38:55.919951+00:00,
gpt-5.4,1+1+1,3,3,3,True,0,"[""3""]",[-4.2e-05],"[[{""token"": ""3"", ""bytes"": [51], ""logprob"": -4.2e-05}]]",966.46,v1/responses,2026-05-24T22:38:56.893343+00:00,
gpt-5.4,1+1+1+1,4,4,4,True,0,"[""4""]",[-6.1e-05],"[[{""token"": ""4"", ""bytes"": [52], ""logprob"": -6.1e-05}]]",1047.37,v1/responses,2026-05-24T22:38:57.946966+00:00,
gpt-5.4,1+1+1+1+1,5,5,5,True,0,"[""5""]",[-6.1e-05],"[[{""token"": ""5"", ""bytes"": [53], ""logprob"": -6.1e-05}]]",784.45,v1/responses,2026-05-24T22:39:38.217583+00:00,
gpt-5.4,1+1+1+1+1+1,6,6,6,True,0,"[""6""]",[6.1e-05],"[[{""token"": ""6"", ""bytes"": [54], ""logprob"": 6.1e-05}]]",766.16,v1/responses,2026-05-24T22:39:38.805062+00:00,
gpt-5.4,1+1+1+1+1+1+1,7,7,7,True,0,"[""7""]",[8e-06],"[[{""token"": ""7"", ""bytes"": [55], ""logprob"": 8e-06}]]",715.4,v1/responses,2026-05-24T22:39:38.807952+00:00,
gpt-5.4,1+1+1+1+1+1+1+1,8,8,8,True,0,"[""8""]",[3.8e-05],"[[{""token"": ""8"", ""bytes"": [56], ""logprob"": 3.8e-05}]]",1294.29,v1/responses,2026-05-24T22:39:39.522449+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1,9,9,9,True,0,"[""9""]",[8e-06],"[[{""token"": ""9"", ""bytes"": [57], ""logprob"": 8e-06}]]",819.81,v1/responses,2026-05-24T22:39:39.635285+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1,10,10,10,True,0,"[""10""]",[1.9e-05],"[[{""token"": ""10"", ""bytes"": [49, 48], ""logprob"": 1.9e-05}]]",735.43,v1/responses,2026-05-24T22:39:39.552398+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1,11,11,11,True,0,"[""11""]",[0.0],"[[{""token"": ""11"", ""bytes"": [49, 49], ""logprob"": 0.0}]]",1421.9,v1/responses,2026-05-24T22:39:40.953707+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1,12,12,12,True,0,"[""12""]",[-5.3e-05],"[[{""token"": ""12"", ""bytes"": [49, 50], ""logprob"": -5.3e-05}]]",820.0,v1/responses,2026-05-24T22:39:40.380518+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1,13,13,13,True,0,"[""13""]",[-1.9e-05],"[[{""token"": ""13"", ""bytes"": [49, 51], ""logprob"": -1.9e-05}]]",894.21,v1/responses,2026-05-24T22:39:40.536692+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1,14,14,14,True,0,"[""14""]",[-1.9e-05],"[[{""token"": ""14"", ""bytes"": [49, 52], ""logprob"": -1.9e-05}]]",785.52,v1/responses,2026-05-24T22:39:41.175465+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,15,15,15,True,0,"[""15""]",[1.9e-05],"[[{""token"": ""15"", ""bytes"": [49, 53], ""logprob"": 1.9e-05}]]",768.82,v1/responses,2026-05-24T22:39:41.314943+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,16,16,16,True,0,"[""16""]",[-5.3e-05],"[[{""token"": ""16"", ""bytes"": [49, 54], ""logprob"": -5.3e-05}]]",810.53,v1/responses,2026-05-24T22:39:41.772427+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,17,17,17,True,0,"[""17""]",[-1.9e-05],"[[{""token"": ""17"", ""bytes"": [49, 55], ""logprob"": -1.9e-05}]]",758.98,v1/responses,2026-05-24T22:39:41.940740+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,18,18,18,True,0,"[""18""]",[-4.2e-05],"[[{""token"": ""18"", ""bytes"": [49, 56], ""logprob"": -4.2e-05}]]",875.1,v1/responses,2026-05-24T22:39:42.197131+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,19,19,19,True,0,"[""19""]",[-5.3e-05],"[[{""token"": ""19"", ""bytes"": [49, 57], ""logprob"": -5.3e-05}]]",913.51,v1/responses,2026-05-24T22:39:42.693568+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,20,20,20,True,0,"[""20""]",[3.1e-05],"[[{""token"": ""20"", ""bytes"": [50, 48], ""logprob"": 3.1e-05}]]",914.74,v1/responses,2026-05-24T22:39:42.860368+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,21,21,21,True,0,"[""21""]",[-5.3e-05],"[[{""token"": ""21"", ""bytes"": [50, 49], ""logprob"": -5.3e-05}]]",738.85,v1/responses,2026-05-24T22:39:42.943949+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,22,22,22,True,0,"[""22""]",[6.1e-05],"[[{""token"": ""22"", ""bytes"": [50, 50], ""logprob"": 6.1e-05}]]",708.51,v1/responses,2026-05-24T22:39:43.411462+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,23,23,23,True,0,"[""23""]",[-1.9e-05],"[[{""token"": ""23"", ""bytes"": [50, 51], ""logprob"": -1.9e-05}]]",954.55,v1/responses,2026-05-24T22:39:43.824499+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,24,24,24,True,0,"[""24""]",[-3.4e-05],"[[{""token"": ""24"", ""bytes"": [50, 52], ""logprob"": -3.4e-05}]]",767.29,v1/responses,2026-05-24T22:39:43.719398+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,25,25,25,True,0,"[""25""]",[1.9e-05],"[[{""token"": ""25"", ""bytes"": [50, 53], ""logprob"": 1.9e-05}]]",1015.02,v1/responses,2026-05-24T22:39:44.436195+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,26,26,26,True,0,"[""26""]",[5e-05],"[[{""token"": ""26"", ""bytes"": [50, 54], ""logprob"": 5e-05}]]",854.98,v1/responses,2026-05-24T22:39:44.584257+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,27,27,27,True,0,"[""27""]",[1.9e-05],"[[{""token"": ""27"", ""bytes"": [50, 55], ""logprob"": 1.9e-05}]]",723.39,v1/responses,2026-05-24T22:39:44.558535+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,28,28,28,True,0,"[""28""]",[3.1e-05],"[[{""token"": ""28"", ""bytes"": [50, 56], ""logprob"": 3.1e-05}]]",808.37,v1/responses,2026-05-24T22:39:45.255092+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,29,29,29,True,0,"[""29""]",[-3.4e-05],"[[{""token"": ""29"", ""bytes"": [50, 57], ""logprob"": -3.4e-05}]]",981.15,v1/responses,2026-05-24T22:39:45.549532+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,30,30,30,True,0,"[""30""]",[6.1e-05],"[[{""token"": ""30"", ""bytes"": [51, 48], ""logprob"": 6.1e-05}]]",812.94,v1/responses,2026-05-24T22:39:45.404081+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,31,31,31,True,0,"[""31""]",[-5.3e-05],"[[{""token"": ""31"", ""bytes"": [51, 49], ""logprob"": -5.3e-05}]]",933.47,v1/responses,2026-05-24T22:39:46.196518+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,32,32,32,True,0,"[""32""]",[-6.1e-05],"[[{""token"": ""32"", ""bytes"": [51, 50], ""logprob"": -6.1e-05}]]",765.43,v1/responses,2026-05-24T22:39:46.177951+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,33,33,33,True,0,"[""33""]",[-1.9e-05],"[[{""token"": ""33"", ""bytes"": [51, 51], ""logprob"": -1.9e-05}]]",853.83,v1/responses,2026-05-24T22:39:46.410656+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,34,34,34,True,0,"[""34""]",[-1.9e-05],"[[{""token"": ""34"", ""bytes"": [51, 52], ""logprob"": -1.9e-05}]]",808.02,v1/responses,2026-05-24T22:39:46.996268+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,35,35,35,True,0,"[""35""]",[-3.4e-05],"[[{""token"": ""35"", ""bytes"": [51, 53], ""logprob"": -3.4e-05}]]",2748.71,v1/responses,2026-05-24T22:39:48.951839+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,36,36,36,True,0,"[""36""]",[8e-06],"[[{""token"": ""36"", ""bytes"": [51, 54], ""logprob"": 8e-06}]]",1087.65,v1/responses,2026-05-24T22:39:47.508626+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,37,37,37,True,0,"[""37""]",[-6.1e-05],"[[{""token"": ""37"", ""bytes"": [51, 55], ""logprob"": -6.1e-05}]]",910.6,v1/responses,2026-05-24T22:39:47.917402+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,38,38,38,True,0,"[""38""]",[-1.9e-05],"[[{""token"": ""38"", ""bytes"": [51, 56], ""logprob"": -1.9e-05}]]",691.82,v1/responses,2026-05-24T22:39:48.210638+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,39,39,39,True,0,"[""39""]",[5e-05],"[[{""token"": ""39"", ""bytes"": [51, 57], ""logprob"": 5e-05}]]",1011.99,v1/responses,2026-05-24T22:39:48.939609+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,40,40,40,True,0,"[""40""]",[1.9e-05],"[[{""token"": ""40"", ""bytes"": [52, 48], ""logprob"": 1.9e-05}]]",908.0,v1/responses,2026-05-24T22:39:49.129159+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,41,41,41,True,0,"[""41""]",[0.0],"[[{""token"": ""41"", ""bytes"": [52, 49], ""logprob"": 0.0}]]",1284.73,v1/responses,2026-05-24T22:39:50.232580+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,42,42,42,True,0,"[""42""]",[-6.1e-05],"[[{""token"": ""42"", ""bytes"": [52, 50], ""logprob"": -6.1e-05}]]",765.04,v1/responses,2026-05-24T22:39:49.725183+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,43,43,43,True,0,"[""43""]",[6.1e-05],"[[{""token"": ""43"", ""bytes"": [52, 51], ""logprob"": 6.1e-05}]]",930.28,v1/responses,2026-05-24T22:39:50.066868+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,44,44,44,True,0,"[""44""]",[-2.3e-05],"[[{""token"": ""44"", ""bytes"": [52, 52], ""logprob"": -2.3e-05}]]",1051.97,v1/responses,2026-05-24T22:39:50.784829+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,45,45,45,True,0,"[""45""]",[8e-06],"[[{""token"": ""45"", ""bytes"": [52, 53], ""logprob"": 8e-06}]]",1012.75,v1/responses,2026-05-24T22:39:51.090615+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,46,46,46,True,0,"[""46""]",[-2.3e-05],"[[{""token"": ""46"", ""bytes"": [52, 54], ""logprob"": -2.3e-05}]]",890.11,v1/responses,2026-05-24T22:39:51.133141+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,47,47,47,True,0,"[""47""]",[0.0],"[[{""token"": ""47"", ""bytes"": [52, 55], ""logprob"": 0.0}]]",1115.17,v1/responses,2026-05-24T22:39:51.911270+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,48,48,48,True,0,"[""48""]",[-5.3e-05],"[[{""token"": ""48"", ""bytes"": [52, 56], ""logprob"": -5.3e-05}]]",828.93,v1/responses,2026-05-24T22:39:51.930125+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,49,49,49,True,0,"[""49""]",[-2.3e-05],"[[{""token"": ""49"", ""bytes"": [52, 57], ""logprob"": -2.3e-05}]]",771.61,v1/responses,2026-05-24T22:39:51.912652+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,50,50,50,True,0,"[""50""]",[-1.9e-05],"[[{""token"": ""50"", ""bytes"": [53, 48], ""logprob"": -1.9e-05}]]",816.46,v1/responses,2026-05-24T22:39:52.739627+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,51,51,51,True,0,"[""51""]",[8e-06],"[[{""token"": ""51"", ""bytes"": [53, 49], ""logprob"": 8e-06}]]",811.54,v1/responses,2026-05-24T22:39:52.736060+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,52,52,52,True,0,"[""52""]",[5.7e-05],"[[{""token"": ""52"", ""bytes"": [53, 50], ""logprob"": 5.7e-05}]]",797.98,v1/responses,2026-05-24T22:39:52.737674+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,53,53,53,True,0,"[""53""]",[-5e-05],"[[{""token"": ""53"", ""bytes"": [53, 51], ""logprob"": -5e-05}]]",704.76,v1/responses,2026-05-24T22:39:53.453747+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,54,54,54,True,0,"[""54""]",[-3.1e-05],"[[{""token"": ""54"", ""bytes"": [53, 52], ""logprob"": -3.1e-05}]]",876.28,v1/responses,2026-05-24T22:39:53.627080+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,55,55,55,True,0,"[""55""]",[-5e-05],"[[{""token"": ""55"", ""bytes"": [53, 53], ""logprob"": -5e-05}]]",728.29,v1/responses,2026-05-24T22:39:53.478252+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,56,56,56,True,0,"[""56""]",[0.0],"[[{""token"": ""56"", ""bytes"": [53, 54], ""logprob"": 0.0}]]",906.67,v1/responses,2026-05-24T22:39:54.369843+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,57,57,57,True,0,"[""57""]",[2.7e-05],"[[{""token"": ""57"", ""bytes"": [53, 55], ""logprob"": 2.7e-05}]]",887.89,v1/responses,2026-05-24T22:39:54.372140+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,58,58,58,True,0,"[""58""]",[-5e-05],"[[{""token"": ""58"", ""bytes"": [53, 56], ""logprob"": -5e-05}]]",769.44,v1/responses,2026-05-24T22:39:54.404593+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,59,59,59,True,0,"[""59""]",[1.9e-05],"[[{""token"": ""59"", ""bytes"": [53, 57], ""logprob"": 1.9e-05}]]",909.14,v1/responses,2026-05-24T22:39:55.296266+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,60,60,60,True,0,"[""60""]",[-3.8e-05],"[[{""token"": ""60"", ""bytes"": [54, 48], ""logprob"": -3.8e-05}]]",913.72,v1/responses,2026-05-24T22:39:55.298276+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,61,61,61,True,0,"[""61""]",[1.9e-05],"[[{""token"": ""61"", ""bytes"": [54, 49], ""logprob"": 1.9e-05}]]",884.45,v1/responses,2026-05-24T22:39:55.294611+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,62,62,62,True,0,"[""62""]",[8e-06],"[[{""token"": ""62"", ""bytes"": [54, 50], ""logprob"": 8e-06}]]",749.11,v1/responses,2026-05-24T22:39:56.057695+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,63,63,63,True,0,"[""63""]",[-8e-06],"[[{""token"": ""63"", ""bytes"": [54, 51], ""logprob"": -8e-06}]]",850.25,v1/responses,2026-05-24T22:39:56.159874+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,64,64,64,True,0,"[""64""]",[6.1e-05],"[[{""token"": ""64"", ""bytes"": [54, 52], ""logprob"": 6.1e-05}]]",835.35,v1/responses,2026-05-24T22:39:56.146896+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,65,65,65,True,0,"[""65""]",[-6.5e-05],"[[{""token"": ""65"", ""bytes"": [54, 53], ""logprob"": -6.5e-05}]]",628.27,v1/responses,2026-05-24T22:39:56.697973+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,66,66,66,True,0,"[""66""]",[-5.3e-05],"[[{""token"": ""66"", ""bytes"": [54, 54], ""logprob"": -5.3e-05}]]",708.95,v1/responses,2026-05-24T22:39:56.863617+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,67,67,67,True,0,"[""67""]",[-3.8e-05],"[[{""token"": ""67"", ""bytes"": [54, 55], ""logprob"": -3.8e-05}]]",785.59,v1/responses,2026-05-24T22:39:56.950611+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,68,68,68,True,0,"[""68""]",[-4.6e-05],"[[{""token"": ""68"", ""bytes"": [54, 56], ""logprob"": -4.6e-05}]]",719.12,v1/responses,2026-05-24T22:39:57.421112+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,69,69,69,True,0,"[""69""]",[-6.1e-05],"[[{""token"": ""69"", ""bytes"": [54, 57], ""logprob"": -6.1e-05}]]",777.54,v1/responses,2026-05-24T22:39:57.645218+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,70,70,70,True,0,"[""70""]",[-6.1e-05],"[[{""token"": ""70"", ""bytes"": [55, 48], ""logprob"": -6.1e-05}]]",756.49,v1/responses,2026-05-24T22:39:57.712661+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,71,71,71,True,0,"[""71""]",[-4.2e-05],"[[{""token"": ""71"", ""bytes"": [55, 49], ""logprob"": -4.2e-05}]]",828.07,v1/responses,2026-05-24T22:39:58.259458+00:00,
