model,sum,expected,raw_text,parsed_answer,is_correct,error_abs,tokens,token_logprobs,top_logprobs,latency_ms,api_endpoint,created_at,error
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,72,72,72,True,0,"[""72""]",[-4.2e-05],"[[{""token"": ""72"", ""bytes"": [55, 50], ""logprob"": -4.2e-05}]]",877.24,v1/responses,2026-05-24T22:39:58.530818+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,73,73,73,True,0,"[""73""]",[1.1e-05],"[[{""token"": ""73"", ""bytes"": [55, 51], ""logprob"": 1.1e-05}]]",760.29,v1/responses,2026-05-24T22:39:58.480929+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,74,74,74,True,0,"[""74""]",[-1.9e-05],"[[{""token"": ""74"", ""bytes"": [55, 52], ""logprob"": -1.9e-05}]]",1931.5,v1/responses,2026-05-24T22:40:00.202204+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,75,75,75,True,0,"[""75""]",[-1.9e-05],"[[{""token"": ""75"", ""bytes"": [55, 53], ""logprob"": -1.9e-05}]]",795.19,v1/responses,2026-05-24T22:39:59.283885+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,76,76,76,True,0,"[""76""]",[-1.1e-05],"[[{""token"": ""76"", ""bytes"": [55, 54], ""logprob"": -1.1e-05}]]",784.88,v1/responses,2026-05-24T22:39:59.324126+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,77,77,77,True,0,"[""77""]",[-1.9e-05],"[[{""token"": ""77"", ""bytes"": [55, 55], ""logprob"": -1.9e-05}]]",981.33,v1/responses,2026-05-24T22:40:00.278106+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,78,78,78,True,0,"[""78""]",[-4.6e-05],"[[{""token"": ""78"", ""bytes"": [55, 56], ""logprob"": -4.6e-05}]]",920.9,v1/responses,2026-05-24T22:40:00.252837+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,79,79,79,True,0,"[""79""]",[-4.2e-05],"[[{""token"": ""79"", ""bytes"": [55, 57], ""logprob"": -4.2e-05}]]",810.49,v1/responses,2026-05-24T22:40:01.024367+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,80,80,80,True,0,"[""80""]",[6.1e-05],"[[{""token"": ""80"", ""bytes"": [56, 48], ""logprob"": 6.1e-05}]]",882.69,v1/responses,2026-05-24T22:40:01.143739+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,81,81,81,True,0,"[""81""]",[0.0],"[[{""token"": ""81"", ""bytes"": [56, 49], ""logprob"": 0.0}]]",916.32,v1/responses,2026-05-24T22:40:01.200764+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,82,82,82,True,0,"[""82""]",[2.7e-05],"[[{""token"": ""82"", ""bytes"": [56, 50], ""logprob"": 2.7e-05}]]",913.23,v1/responses,2026-05-24T22:40:01.947520+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,83,83,83,True,0,"[""83""]",[4e-06],"[[{""token"": ""83"", ""bytes"": [56, 51], ""logprob"": 4e-06}]]",829.84,v1/responses,2026-05-24T22:40:01.982507+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,84,84,84,True,0,"[""84""]",[2.7e-05],"[[{""token"": ""84"", ""bytes"": [56, 52], ""logprob"": 2.7e-05}]]",740.36,v1/responses,2026-05-24T22:40:01.948997+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,85,85,85,True,0,"[""85""]",[-1.1e-05],"[[{""token"": ""85"", ""bytes"": [56, 53], ""logprob"": -1.1e-05}]]",870.21,v1/responses,2026-05-24T22:40:02.832358+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,86,86,86,True,0,"[""86""]",[-4.2e-05],"[[{""token"": ""86"", ""bytes"": [56, 54], ""logprob"": -4.2e-05}]]",790.92,v1/responses,2026-05-24T22:40:02.751936+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,87,87,87,True,0,"[""87""]",[-5e-05],"[[{""token"": ""87"", ""bytes"": [56, 55], ""logprob"": -5e-05}]]",786.04,v1/responses,2026-05-24T22:40:02.774563+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,88,88,88,True,0,"[""88""]",[5e-05],"[[{""token"": ""88"", ""bytes"": [56, 56], ""logprob"": 5e-05}]]",717.49,v1/responses,2026-05-24T22:40:03.482769+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,89,89,89,True,0,"[""89""]",[0.0],"[[{""token"": ""89"", ""bytes"": [56, 57], ""logprob"": 0.0}]]",718.07,v1/responses,2026-05-24T22:40:03.500578+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,90,90,90,True,0,"[""90""]",[5.3e-05],"[[{""token"": ""90"", ""bytes"": [57, 48], ""logprob"": 5.3e-05}]]",735.1,v1/responses,2026-05-24T22:40:03.574991+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,91,91,91,True,0,"[""91""]",[5e-05],"[[{""token"": ""91"", ""bytes"": [57, 49], ""logprob"": 5e-05}]]",806.21,v1/responses,2026-05-24T22:40:04.302329+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,92,92,92,True,0,"[""92""]",[0.0],"[[{""token"": ""92"", ""bytes"": [57, 50], ""logprob"": 0.0}]]",803.62,v1/responses,2026-05-24T22:40:04.310615+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,93,93,93,True,0,"[""93""]",[-0.000553],"[[{""token"": ""93"", ""bytes"": [57, 51], ""logprob"": -0.000553}]]",858.87,v1/responses,2026-05-24T22:40:04.441730+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,94,94,94,True,0,"[""94""]",[-8.4e-05],"[[{""token"": ""94"", ""bytes"": [57, 52], ""logprob"": -8.4e-05}]]",917.57,v1/responses,2026-05-24T22:40:05.228799+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,95,95,95,True,0,"[""95""]",[-5e-05],"[[{""token"": ""95"", ""bytes"": [57, 53], ""logprob"": -5e-05}]]",905.57,v1/responses,2026-05-24T22:40:05.225349+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,96,96,96,True,0,"[""96""]",[-3.1e-05],"[[{""token"": ""96"", ""bytes"": [57, 54], ""logprob"": -3.1e-05}]]",776.4,v1/responses,2026-05-24T22:40:05.227415+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,97,97,97,True,0,"[""97""]",[-1.9e-05],"[[{""token"": ""97"", ""bytes"": [57, 55], ""logprob"": -1.9e-05}]]",835.5,v1/responses,2026-05-24T22:40:06.079208+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,98,98,98,True,0,"[""98""]",[-0.000137],"[[{""token"": ""98"", ""bytes"": [57, 56], ""logprob"": -0.000137}]]",802.81,v1/responses,2026-05-24T22:40:06.044211+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,99,99,99,True,0,"[""99""]",[-0.000259],"[[{""token"": ""99"", ""bytes"": [57, 57], ""logprob"": -0.000259}]]",803.24,v1/responses,2026-05-24T22:40:06.045623+00:00,
gpt-5.4,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,100,100,100,True,0,"[""100""]",[5.3e-05],"[[{""token"": ""100"", ""bytes"": [49, 48, 48], ""logprob"": 5.3e-05}]]",1009.71,v1/responses,2026-05-24T22:40:07.067855+00:00,
gpt-5.4-mini,1+1,2,2,2,True,0,"[""2""]",[-3.8e-05],"[[{""token"": ""2"", ""bytes"": [50], ""logprob"": -3.8e-05}]]",1260.47,v1/responses,2026-05-24T22:38:52.852070+00:00,
gpt-5.4-mini,1+1+1,3,3,3,True,0,"[""3""]",[-3.4e-05],"[[{""token"": ""3"", ""bytes"": [51], ""logprob"": -3.4e-05}]]",997.92,v1/responses,2026-05-24T22:38:53.852622+00:00,
gpt-5.4-mini,1+1+1+1,4,4,4,True,0,"[""4""]",[-2.7e-05],"[[{""token"": ""4"", ""bytes"": [52], ""logprob"": -2.7e-05}]]",1081.38,v1/responses,2026-05-24T22:38:54.940898+00:00,
gpt-5.4-mini,1+1+1+1+1,5,5,5,True,0,"[""5""]",[0.0],"[[{""token"": ""5"", ""bytes"": [53], ""logprob"": 0.0}]]",1007.04,v1/responses,2026-05-24T22:39:13.382342+00:00,
gpt-5.4-mini,1+1+1+1+1+1,6,6,6,True,0,"[""6""]",[-8e-06],"[[{""token"": ""6"", ""bytes"": [54], ""logprob"": -8e-06}]]",886.08,v1/responses,2026-05-24T22:39:13.261606+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1,7,7,7,True,0,"[""7""]",[-1.5e-05],"[[{""token"": ""7"", ""bytes"": [55], ""logprob"": -1.5e-05}]]",1104.81,v1/responses,2026-05-24T22:39:13.479805+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1,8,8,8,True,0,"[""8""]",[-8e-06],"[[{""token"": ""8"", ""bytes"": [56], ""logprob"": -8e-06}]]",655.81,v1/responses,2026-05-24T22:39:13.920095+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1,9,9,9,True,0,"[""9""]",[-5.7e-05],"[[{""token"": ""9"", ""bytes"": [57], ""logprob"": -5.7e-05}]]",729.18,v1/responses,2026-05-24T22:39:14.114397+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1,10,10,10,True,0,"[""10""]",[-3.4e-05],"[[{""token"": ""10"", ""bytes"": [49, 48], ""logprob"": -3.4e-05}]]",896.78,v1/responses,2026-05-24T22:39:14.380559+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1,11,11,11,True,0,"[""11""]",[-4.6e-05],"[[{""token"": ""11"", ""bytes"": [49, 49], ""logprob"": -4.6e-05}]]",698.57,v1/responses,2026-05-24T22:39:14.625394+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1,12,12,12,True,0,"[""12""]",[1.5e-05],"[[{""token"": ""12"", ""bytes"": [49, 50], ""logprob"": 1.5e-05}]]",1093.69,v1/responses,2026-05-24T22:39:15.213698+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1,13,13,13,True,0,"[""13""]",[0.0],"[[{""token"": ""13"", ""bytes"": [49, 51], ""logprob"": 0.0}]]",952.97,v1/responses,2026-05-24T22:39:15.340020+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1,14,14,14,True,0,"[""14""]",[1.5e-05],"[[{""token"": ""14"", ""bytes"": [49, 52], ""logprob"": 1.5e-05}]]",1235.58,v1/responses,2026-05-24T22:39:15.867957+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,15,15,15,True,0,"[""15""]",[-1.5e-05],"[[{""token"": ""15"", ""bytes"": [49, 53], ""logprob"": -1.5e-05}]]",1025.25,v1/responses,2026-05-24T22:39:16.245161+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,16,16,16,True,0,"[""16""]",[-6.5e-05],"[[{""token"": ""16"", ""bytes"": [49, 54], ""logprob"": -6.5e-05}]]",769.08,v1/responses,2026-05-24T22:39:16.115576+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,17,17,17,True,0,"[""17""]",[-2.3e-05],"[[{""token"": ""17"", ""bytes"": [49, 55], ""logprob"": -2.3e-05}]]",811.03,v1/responses,2026-05-24T22:39:16.685648+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,18,18,18,True,0,"[""18""]",[-2.3e-05],"[[{""token"": ""18"", ""bytes"": [49, 56], ""logprob"": -2.3e-05}]]",973.73,v1/responses,2026-05-24T22:39:17.095881+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,19,19,19,True,0,"[""19""]",[-3.8e-05],"[[{""token"": ""19"", ""bytes"": [49, 57], ""logprob"": -3.8e-05}]]",845.42,v1/responses,2026-05-24T22:39:17.097005+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,20,20,20,True,0,"[""20""]",[1.5e-05],"[[{""token"": ""20"", ""bytes"": [50, 48], ""logprob"": 1.5e-05}]]",914.07,v1/responses,2026-05-24T22:39:17.606133+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,21,21,21,True,0,"[""21""]",[-1.5e-05],"[[{""token"": ""21"", ""bytes"": [50, 49], ""logprob"": -1.5e-05}]]",897.31,v1/responses,2026-05-24T22:39:18.001695+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,22,22,22,True,0,"[""22""]",[-3.4e-05],"[[{""token"": ""22"", ""bytes"": [50, 50], ""logprob"": -3.4e-05}]]",834.53,v1/responses,2026-05-24T22:39:17.938015+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,23,23,23,True,0,"[""23""]",[-3.8e-05],"[[{""token"": ""23"", ""bytes"": [50, 51], ""logprob"": -3.8e-05}]]",940.38,v1/responses,2026-05-24T22:39:18.553207+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,24,24,24,True,0,"[""24""]",[-3.4e-05],"[[{""token"": ""24"", ""bytes"": [50, 52], ""logprob"": -3.4e-05}]]",652.48,v1/responses,2026-05-24T22:39:18.593122+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,25,25,25,True,0,"[""25""]",[1.9e-05],"[[{""token"": ""25"", ""bytes"": [50, 53], ""logprob"": 1.9e-05}]]",714.61,v1/responses,2026-05-24T22:39:18.719732+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,26,26,26,True,0,"[""26""]",[-0.008701],"[[{""token"": ""26"", ""bytes"": [50, 54], ""logprob"": -0.008701}]]",720.83,v1/responses,2026-05-24T22:39:19.276538+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,27,27,27,True,0,"[""27""]",[-1.5e-05],"[[{""token"": ""27"", ""bytes"": [50, 55], ""logprob"": -1.5e-05}]]",875.63,v1/responses,2026-05-24T22:39:19.471490+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,28,28,28,True,0,"[""28""]",[-4.2e-05],"[[{""token"": ""28"", ""bytes"": [50, 56], ""logprob"": -4.2e-05}]]",659.27,v1/responses,2026-05-24T22:39:19.383532+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,29,29,29,True,0,"[""29""]",[-0.000172],"[[{""token"": ""29"", ""bytes"": [50, 57], ""logprob"": -0.000172}]]",679.81,v1/responses,2026-05-24T22:39:19.961958+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,30,30,30,True,0,"[""30""]",[-1.1e-05],"[[{""token"": ""30"", ""bytes"": [51, 48], ""logprob"": -1.1e-05}]]",719.15,v1/responses,2026-05-24T22:39:20.108749+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,31,31,31,True,0,"[""31""]",[-1.9e-05],"[[{""token"": ""31"", ""bytes"": [51, 49], ""logprob"": -1.9e-05}]]",916.08,v1/responses,2026-05-24T22:39:20.393780+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,32,32,32,True,0,"[""32""]",[-2.7e-05],"[[{""token"": ""32"", ""bytes"": [51, 50], ""logprob"": -2.7e-05}]]",708.51,v1/responses,2026-05-24T22:39:20.677277+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,33,33,33,True,0,"[""33""]",[-6.5e-05],"[[{""token"": ""33"", ""bytes"": [51, 51], ""logprob"": -6.5e-05}]]",720.54,v1/responses,2026-05-24T22:39:20.833782+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,34,34,34,True,0,"[""34""]",[-0.013836],"[[{""token"": ""34"", ""bytes"": [51, 52], ""logprob"": -0.013836}]]",788.32,v1/responses,2026-05-24T22:39:21.188539+00:00,
gpt-5.4-mini,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,35,35,35,True,0,"[""35""]",[-9.9e-05],"[[{""token"": ""35"", ""bytes"": [51, 53], ""logprob"": -9.9e-05}]]",616.17,v1/responses,2026-05-24T22:39:21.299798+00:00,
